"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.112","62.228.180.16","TCP","66","57944  >  8309 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.046807","192.168.0.112","111.88.226.82","TCP","66","57902  >  31745 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"3","0.068577","112.104.76.199","192.168.0.112","UDP","140","24230  >  58798 Len=98"
"4","0.068830","192.168.0.112","112.104.76.199","UDP","283","58798  >  24230 Len=241"
"5","0.068884","192.168.0.112","99.225.234.13","UDP","62","58798  >  32302 Len=20"
"6","0.068910","192.168.0.112","27.114.135.171","UDP","1037","58798  >  60849 Len=995"
"7","0.068936","192.168.0.112","88.222.15.73","UDP","62","58798  >  59975 Len=20"
"8","0.245715","62.228.180.16","192.168.0.112","TCP","60","8309  >  57944 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","0.324112","111.88.226.82","192.168.0.112","TCP","60","31745  >  57902 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"10","0.480846","192.168.0.112","60.102.117.165","UDP","62","58798  >  23702 Len=20"
"11","0.480968","192.168.0.112","60.102.117.165","TCP","66","57949  >  23702 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","0.495259","192.168.0.112","77.228.236.78","TCP","66","57940  >  6898 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"13","0.495260","192.168.0.112","77.160.192.147","TCP","66","57923  >  63263 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","0.495260","192.168.0.112","61.51.117.227","TCP","66","57941  >  40602 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"15","0.523747","96:93:06:16:27:a7","Broadcast","ARP","60","Who has 192.168.0.1? Tell 192.168.0.104"
"16","0.573176","192.168.0.112","82.46.30.102","UDP","62","58798  >  51413 Len=20"
"17","0.573336","192.168.0.112","61.51.117.227","UDP","62","58798  >  40602 Len=20"
"18","0.623081","27.114.135.171","192.168.0.112","UDP","68","60849  >  58798 Len=26"
"19","0.623246","192.168.0.112","27.114.135.171","UDP","1037","58798  >  60849 Len=995"
"20","0.623280","192.168.0.112","27.114.135.171","UDP","1037","58798  >  60849 Len=995"
"21","0.630625","183.94.121.79","192.168.0.112","UDP","187","17082  >  58798 Len=145"
"22","0.630809","192.168.0.112","183.94.121.79","UDP","112","58798  >  17082 Len=70"
"23","0.678509","90.168.112.92","192.168.0.112","UDP","231","51413  >  58798 Len=189"
"24","0.678698","192.168.0.112","90.168.112.92","UDP","62","58798  >  51413 Len=20"
"25","0.679527","192.168.0.112","90.168.112.92","UDP","158","58798  >  51413 Len=116"
"26","0.755368","117.14.214.143","192.168.0.112","UDP","157","20608  >  58798 Len=115"
"27","0.755935","192.168.0.112","117.14.214.143","UDP","341","58798  >  20608 Len=299"
"28","0.758032","192.168.0.112","62.228.180.16","TCP","66","[TCP Retransmission] 57944  >  8309 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"29","0.805835","192.168.0.112","224.0.0.251","MDNS","92","Standard query 0x0000 SRV mobile._epoccam._tcp.local, ""QM"" question TXT mobile._epoccam._tcp.local, ""QM"" question"
"30","0.875540","192.168.0.104","239.255.255.250","UDP","77","52969  >  15600 Len=35"
"31","0.915941","115.53.65.255","192.168.0.112","UDP","220","11721  >  58798 Len=178"
"32","0.916110","192.168.0.112","115.53.65.255","UDP","110","58798  >  11721 Len=68"
"33","1.002684","62.228.180.16","192.168.0.112","TCP","60","8309  >  57944 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"34","1.068155","192.168.0.112","183.99.240.147","TCP","66","57909  >  55180 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"35","1.265120","27.114.135.171","192.168.0.112","UDP","68","60849  >  58798 Len=26"
"36","1.265256","192.168.0.112","27.114.135.171","UDP","1037","58798  >  60849 Len=995"
"37","1.265283","192.168.0.112","27.114.135.171","UDP","1037","58798  >  60849 Len=995"
"38","1.393474","90.168.112.92","192.168.0.112","UDP","62","51413  >  58798 Len=20"
"39","1.406240","183.99.240.147","192.168.0.112","TCP","60","55180  >  57909 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40","1.471494","192.168.0.112","220.137.38.59","UDP","62","58798  >  44390 Len=20"
"41","1.472241","192.168.0.112","220.137.38.59","TCP","66","57950  >  44390 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"42","1.486640","192.168.0.112","60.102.117.165","TCP","66","[TCP Retransmission] 57949  >  23702 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"43","1.501549","192.168.0.112","186.123.81.249","TCP","66","57925  >  56442 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"44","1.501581","192.168.0.112","2.137.232.114","TCP","66","57926  >  6881 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"45","1.516751","192.168.0.112","62.228.180.16","TCP","66","[TCP Retransmission] 57944  >  8309 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"46","1.594109","192.168.0.112","91.129.104.135","UDP","62","58798  >  3941 Len=20"
"47","1.594180","192.168.0.112","68.43.152.13","UDP","62","58798  >  36018 Len=20"
"48","1.685490","90.168.112.92","192.168.0.112","UDP","186","51413  >  58798 Len=144"
"49","1.685609","192.168.0.112","90.168.112.92","UDP","62","58798  >  51413 Len=20"
"50","1.685753","192.168.0.112","90.168.112.92","UDP","62","58798  >  51413 Len=20"
"51","1.732952","192.168.0.112","176.68.233.5","TCP","54","57624  >  53236 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"52","1.760491","192.168.0.104","224.0.0.7","UDP","242","8001  >  8001 Len=200"
