"No.","Time","Source","Destination","Protocol","Length","Info"
"378","8.480528","192.168.0.112","187.33.247.110","TCP","66","57963  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"380","8.483650","192.168.0.112","187.33.247.110","TCP","66","57964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"382","8.498887","187.33.247.110","192.168.0.112","TCP","66","443  >  57963 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM=1 WS=256"
"383","8.499107","192.168.0.112","187.33.247.110","TCP","54","57963  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"384","8.503940","192.168.0.112","187.33.247.110","TLSv1.3","571","Client Hello"
"385","8.503954","187.33.247.110","192.168.0.112","TCP","66","443  >  57964 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM=1 WS=256"
"386","8.504036","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"387","8.509812","192.168.0.112","187.33.247.110","TLSv1.3","571","Client Hello"
"390","8.522972","187.33.247.110","192.168.0.112","TCP","60","443  >  57963 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"392","8.527688","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"393","8.529148","187.33.247.110","192.168.0.112","TLSv1.3","1494","Server Hello, Change Cipher Spec"
"394","8.530173","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=1441 Ack=518 Win=66816 Len=1440 [TCP segment of a reassembled PDU]"
"395","8.530173","187.33.247.110","192.168.0.112","TLSv1.3","477","Application Data"
"396","8.530337","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=518 Ack=3304 Win=132352 Len=0"
"397","8.535881","187.33.247.110","192.168.0.112","TLSv1.3","1494","Server Hello, Change Cipher Spec"
